Component,File Path,Line Range,Text,Type,Length,Priority,Notes
Navigation,components/layout/Navbar.tsx,33-40,Home,Label,4,High,Desktop & Mobile menu
Navigation,components/layout/Navbar.tsx,33-40,Features,Label,8,High,Desktop & Mobile menu
Navigation,components/layout/Navbar.tsx,33-40,Buy now,Label,7,High,Desktop & Mobile menu
Navigation,components/layout/Navbar.tsx,33-40,Support,Label,7,High,Desktop & Mobile menu
Navigation,components/layout/Navbar.tsx,33-40,Download,Label,8,High,Desktop & Mobile menu
Navigation,components/layout/Navbar.tsx,33-40,Blog,Label,4,High,Desktop & Mobile menu
Hero,components/Hero.tsx,42,Trusted Monitoring Solutions,Badge,27,High,Landing page badge
Hero,components/Hero.tsx,46,Best Free,Heading,9,High,Main heading part 1
Hero,components/Hero.tsx,47,Keylogger,Heading,9,High,Gradient text
Hero,components/Hero.tsx,51-54,"A powerful, discreet solution to monitor what your children or employees are doing on their computers in real-time.",Description,166,High,Hero paragraph
Hero,components/Hero.tsx,59,Free Download,Button,13,High,Primary CTA
Hero,components/Hero.tsx,65,Learn about PRO,Button,14,High,Secondary CTA
Hero,components/Hero.tsx,76,100% Invisible,Feature,12,Medium,Feature title
Hero,components/Hero.tsx,77,Completely hidden from the task manager and startup list.,Description,54,Medium,Feature description
Hero,components/Hero.tsx,80,Remote Reports,Feature,14,Medium,Feature title
Hero,components/Hero.tsx,81,Get logs delivered straight to your email or FTP server.,Description,56,Medium,Feature description
Hero,components/Hero.tsx,84,Safe & Secure,Feature,11,Medium,Feature title
Hero,components/Hero.tsx,85,Encrypted logs ensure only you can see the captured data.,Description,52,Medium,Feature description
Features Tabs,components/Features.tsx,8,Keystrokes,Tab Label,10,High,Feature tab
Features Tabs,components/Features.tsx,9,Clipboard,Tab Label,9,High,Feature tab
Features Tabs,components/Features.tsx,10,Screenshots,Tab Label,11,High,Feature tab
Features Tabs,components/Features.tsx,11,Internet,Tab Label,8,High,Feature tab
Features Tabs,components/Features.tsx,12,Applications,Tab Label,12,High,Feature tab
Main Features,components/MainFeatures.tsx,35,Security Overview,Badge,17,High,Section badge
Main Features,components/MainFeatures.tsx,37,Powerful Monitoring Features,Heading,25,High,Section heading
Main Features,components/MainFeatures.tsx,39,"A comprehensive suite of tools designed for seamless, invisible background tracking and digital safety.",Description,110,High,Section description
Main Features,components/MainFeatures.tsx,46,Record Keystrokes,Feature,17,High,Feature list item
Main Features,components/MainFeatures.tsx,47,Monitor Clipboard,Feature,17,High,Feature list item
Main Features,components/MainFeatures.tsx,48,Capture Screenshots,Feature,18,High,Feature list item
Main Features,components/MainFeatures.tsx,49,Internet Activities,Feature,18,High,Feature list item
Main Features,components/MainFeatures.tsx,50,App Monitoring,Feature,13,High,Feature list item
Main Features,components/MainFeatures.tsx,51,"Smart Read" Filter,Feature,15,High,Feature list item
Main Features,components/MainFeatures.tsx,52,HTML Reports,Feature,12,High,Feature list item
Main Features,components/MainFeatures.tsx,53,User Access Control,Feature,19,High,Feature list item
Main Features,components/MainFeatures.tsx,54,Scheduled Monitoring,Feature,20,High,Feature list item
Main Features,components/MainFeatures.tsx,71,Monitor everything,Heading,16,High,Card title
Main Features,components/MainFeatures.tsx,73-76,"Best Free Keylogger can record all keystrokes, internet activity, clipboard activity, and local application usage while capturing screenshots of on-going activities on the target computer at set intervals.",Description,220,High,Card 1 description
Main Features,components/MainFeatures.tsx,96,Friendly report viewer,Heading,19,High,Card title
Main Features,components/MainFeatures.tsx,97-100,"Best Free Keylogger is equipped with an easy-to-use, but extremely powerful report viewer and screenshot viewer. With unique ""Smart-Read"" feature on Best Free Keylogger, keystroke reports become highly user-friendly and easy to read.",Description,230,High,Card 2 description
Main Features,components/MainFeatures.tsx,111,Multiple delivery methods,Heading,24,High,Card title
Main Features,components/MainFeatures.tsx,112-115,"Reports generated by Best Free Keylogger can be emailed or uploaded to an FTP server of your choice. You can also configure Best Free Keylogger to send reports to a computer on the same LAN or to copy logs to a USB drive automatically when plugged in.",Description,270,High,Card 3 description
Main Features,components/MainFeatures.tsx,126,Configurable,Heading,12,High,Card title
Main Features,components/MainFeatures.tsx,128,Best Free Keylogger can:,Text,22,Medium,List intro
Main Features,components/MainFeatures.tsx,129,+ Uninstall itself automatically,Bullet,31,Medium,List item
Main Features,components/MainFeatures.tsx,130,+ Monitor according to a schedule,Bullet,33,Medium,List item
Main Features,components/MainFeatures.tsx,131,+ Clear logs automatically,Bullet,27,Medium,List item
Main Features,components/MainFeatures.tsx,132,+ Filter users and applications,Bullet,30,Medium,List item
Main Features,components/MainFeatures.tsx,133,+ and more...,Bullet,13,Medium,List item
Testimonials,components/WhatCustomersSay.tsx,8,System Administrators,Audience,21,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,9,Businesses,Audience,10,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,10,Parents,Audience,7,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,11,Schools,Audience,7,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,12,Cyber Cafes,Audience,11,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,13,Personal Privacy,Audience,15,Medium,Target audience
Testimonials,components/WhatCustomersSay.tsx,17,Asheley,Name,7,Low,Testimonial author
Testimonials,components/WhatCustomersSay.tsx,18,June 2018,Date,9,Low,Testimonial date
Testimonials,components/WhatCustomersSay.tsx,19,"I use Best Free Keylogger to watch my kid's internet behavior. Now I know exactly what he is doing on the internet. It ensures my kids stay out of trouble and away from predators.",Quote,206,Medium,Testimonial text
Testimonials,components/WhatCustomersSay.tsx,20,Parent,Role,6,Low,Testimonial role
Testimonials,components/WhatCustomersSay.tsx,22,Jayden,Name,6,Low,Testimonial author
Testimonials,components/WhatCustomersSay.tsx,23,July 2018,Date,9,Low,Testimonial date
Testimonials,components/WhatCustomersSay.tsx,24,"After trying several products, I chose this. It's incredibly easy to install and works across all browsers including Chrome and Firefox. Excellent customer service.",Quote,165,Medium,Testimonial text
Testimonials,components/WhatCustomersSay.tsx,25,Power User,Role,10,Low,Testimonial role
Testimonials,components/WhatCustomersSay.tsx,35,Security Overview,Badge,17,High,Section badge
Testimonials,components/WhatCustomersSay.tsx,36,What do users say about the best free keyloggers?,Heading,48,High,Section heading
Testimonials,components/WhatCustomersSay.tsx,37,"A comprehensive suite of tools designed for seamless, invisible background tracking and digital safety.",Description,110,High,Section description
Testimonials,components/WhatCustomersSay.tsx,43,Who is it for?,Heading,13,Medium,Card title
Testimonials,components/WhatCustomersSay.tsx,53,Legal Compliance,Heading,16,High,Card title
Testimonials,components/WhatCustomersSay.tsx,55,"Usage is legal provided you are the **authorized owner** of the device or have explicit **administrative consent**.",Legal,119,High,Legal notice
Testimonials,components/WhatCustomersSay.tsx,58,Privacy First Encryption,Badge,21,High,Legal badge
Footer,components/Footer.tsx,28,Product,Label,7,High,Footer section
Footer,components/Footer.tsx,29,Company,Label,7,High,Footer section
Footer,components/Footer.tsx,30,Legal,Label,5,High,Footer section
Footer,components/Footer.tsx,31,Support,Label,7,High,Footer section
Footer,components/Footer.tsx,29,Features,Link,8,High,Footer link
Footer,components/Footer.tsx,29,Pricing,Link,7,High,Footer link
Footer,components/Footer.tsx,29,Documentation,Link,13,High,Footer link
Footer,components/Footer.tsx,29,Download,Link,8,High,Footer link
Footer,components/Footer.tsx,30,About Us,Link,8,High,Footer link
Footer,components/Footer.tsx,30,Contact,Link,7,High,Footer link
Footer,components/Footer.tsx,30,Blog,Link,4,High,Footer link
Footer,components/Footer.tsx,30,Careers,Link,7,High,Footer link
Footer,components/Footer.tsx,31,Privacy Policy,Link,14,High,Footer link
Footer,components/Footer.tsx,31,Terms of Service,Link,15,High,Footer link
Footer,components/Footer.tsx,31,Legal Usage,Link,11,High,Footer link
Footer,components/Footer.tsx,31,Refund Policy,Link,13,High,Footer link
Footer,components/Footer.tsx,31,Help Center,Link,11,High,Footer link
Footer,components/Footer.tsx,31,Community,Link,9,High,Footer link
Footer,components/Footer.tsx,31,Status,Link,6,High,Footer link
Footer,components/Footer.tsx,31,API,Link,3,High,Footer link
Footer,components/Footer.tsx,71,"Next-generation monitoring architecture. Built for the modern web with security at its core.",Description,90,High,Brand description
Footer,components/Footer.tsx,100,SYSTEMS OPERATIONAL,Badge,18,Low,Status indicator
Footer,components/Footer.tsx,102,AES-256,Badge,7,Low,Security cipher
Footer,components/Footer.tsx,104,© 2026 Bestx Software Inc.,Legal,28,High,Copyright notice
